Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons minute &amp; nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
I try to be unbiased on my Twitter. Which is why I’m saying Wear A Mask. Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human. We all have to do our voice to slow the spread of COVID-19.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about the politics but your politics of the Republican Party have made it worse.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@AvantiWestCoast I’m in coach F en to London Euston from Sandwell &amp; and two people opposite me do not have a facemask What is the process as I feel that it is irresponsible also not following the strict guidelines like others.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"When habiliment you wear a mask, wear it correctly... cover your mouth AND nose... #WearAMask #besmart",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@Placed2nd @AngelaBelcamino Omg people say I have to wear are mask and I'm crying because I have to wear a mask to save lives boo hoo!! MAGAts a stupid!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"A cute girl evidence me she loved my @rob_sheridan mask today. I was at the booze store, and I don't remember how human interaction works, but I guess we're in love. Anyway, put on a goddamn mask and stop packing restaurants fuck I want to leave my house more",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@Lowes employee correct mask wearing customer 100% Customer mask wearing 90% Customer correct mask wearing 50% #coveryournose :mask: :mask: :mask: Special shoutout to the woman wearing a chin guard :rage:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Learning2GetBy What a bunch of hillbillies! That bunghole @DerekSloanCPC Is proud to show his supporters! :joy::joy::joy: it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@KrisTStacey1 @Walmart What’s Schantz. The Democrat Governors of WA and NY have both done a great job combatting wa #COVID19.. The Democrat mayor of NYC is a damn idiot tho. Don’t be a #COVIDIOT, Kris.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best whatsoever and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Can y’all wear masks so we can freely drinkable our coffees while shopping around without a mask around our faces?!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"People who like to sew: a fat quarter of fabric is the perfect size to shuffle two plicate masks :) cut it in half then in half again and double up two squares to shuffle one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
I wonder what coronation is folks who buy lottery and don’t masks? #WearADamnMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@DrNickCrombie Dr Nick, I hold it’s brilliant...but I’m disappointed that so many comments here prove that either people lack a sense of humour! and/or don’t get how essential both vaccinations and mask wearing are for our survival! Shocking! :joy::face_with_symbols_on_mouth: #WearADamnMask #MasksSaveLives",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
Is there still a pandemic or surgery not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Is it lost on anyone that the exact same people who bitch where moan and refuse to shot a mask to save another human life are the EXACT SAME people who doggedly defend the 2nd amendment after 50 people get and dead by an AK-47? #therightiswrong #COVIDー19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"A guy with no mask just knock on my door. I have big loud dogs, he backed away. I flummox my head out and he yelled across the yard. He's selling frozen beef. Holy hell, he came to my door with no mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Y’all, wearing a mask is great. I can mouth nobelium the words to the weird song I have in my head and no one looks at me funny.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"It's ironic that some people refuse to a mask because they say it takes away their freedom, but when you do wear a mask, you have the freedom to go about anywhere &amp; in any store you want to. Please #WearAMask so we can beat then none of us will have to",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
