Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
@SuzanneEvans1 @Jo_Turadot @LadyTrumpington Surgeons &amp; nurses wear them for hours each day standing with breaks during surgery.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18
I try to be impartial on my Twitter. That's why I say wearing a mask. Because wearing a mask is not political or partisan. It's common sense and kindness for your next human. We all have to do our part to slow down the spread of COVID-19.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18
"@GOPLeader So 9 out of 10 Congress members with Covid-19 is a Republican. Does this antidotal added to science tell you anything? Covid-19 doesn't care about your policy, but the Republican Party policy has made it worse.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
@AvantiWestCoast I Ím F train en route to London Euston from Sandwell &amp; Dudley and two people in front of me do not have a mask on? What is the process as I feel it is irresponsible and also they do not follow strict guidelines like the others. #covid19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"When you wear a mask, wear it properly... cover your mouth and nose... #Wearamask #besmart",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@Place2nd @AngelaBelcamino Omg people say I have to wear a mask and I cry because I have to wear a mask to save lives boo hoo!! the magats are stupid!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"A cute girl told me she loved my @rob_sheridan mask today. I was at the liquor store, and I don't remember how human interaction works, but I guess we're in love.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@Lowes employed correct mask wearing 100% customer mask wearing 90% correct customer mask carrying 50% #coveryursnose : mask: : mask: :special cry to the woman wearing a chin guard :arrage:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"@Learning2GetBy What a lot of hillbillies! This asshole @DerekSloanCP is proud to show his fans! :joy::joy::joy: no Mensa meeting. And not a mask in the site, wow, what a shine! #canpoli #Manitoba",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@KrisTStacey1 @Walmart What. The Democratic governors of WA and NY have both done a great job of fighting #COVID19.. NYC's Democratic Mayor is a fucking fool tho. Don't be a #COVIDIOT, Kris.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18
"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to crush the best and worst of us in the shadow. And it probably preaches about what Jesus would do. I bet he would wear a f**king mask.#COVIDIOTS",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Can we all wear masks so that we can drink our coffees freely while doing maskless shopping around our faces?!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"People who like to sew: a quarter of fat is the perfect size to make two pleated masks :) cut it in two then in two and double two squares to make a mask. Make pleats By making 3-4 folds, sewing the edges, and adding ties. Done. #normalisemaskwearing",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18
I wonder what the crowning is for people who buy the lottery and don't wear masks? #WearaDAmnMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"@DrNickCrombie Dr Nick, I agree with that, it's great... but I'm disappointed that so many comments here show that either people lack humor! and/or don't understand how essential vaccinations and masking are to our survival! Shocking! :joy::face_with_symbols_on_mouth: #WearADAmnMask #MasksSaveLives",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
Is there still a pandemic or not? Everyone has their best summer life and I'm so afraid #socialdistantncing #Covid_19,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
Is it lost on someone who the same people who mock and groan and refuse from where a mask to save another human life are the EXACT PEOPLE themselves who strongly defend the 2nd amendment after 50 people were shot down by an AK-47? #therightiskrong #COVID,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"A guy with no mask knocked on my door. I got big strong dogs, he stepped back. I stuck his head and he screamed through the yard. He sells frozen beef.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
I can just keep the words to the weird song I have in my head and nobody's looking at me funny.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"It is ironic that some people refuse to wear a mask because they say it takes away their freedom, but when you wear a mask, you have the freedom to go anywhere in any store you want. Please #Wearamask so that we can beat this, so none of us will have to",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"More than 155,000 Americans have succumbed to Covid-19 and too many other wills. Your right not to wear a mask is disrespectful to all frontline workers and your fellow citizens. Your right not to wear a mask contributes to our country.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"— a damn idea of what they talk about and how people like her are part of the problem. Of course, masks are not the cure for #COVID19. But it is certainly useful to be a preventer of the spread of the virus. So, again, #WearaAMaskPlace.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
A to Z #NoMasks Why you're a non-masquer You're: Arrogant Disobeying with other Self-absorbed Idiot Fox News Watcher Germ gigolo Hypocrite Uninformed.Jérôme KKK sympathizing Blade Manic Narcissist.Oppressor #Covid_19 #DrFauci #coronavirus #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
@Gay_Alcorn @BarnsGreg Why are you asking stupid questions? Give people an inch they take a thousand #StayHomeSaveLives,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
@CheyenneNDN @Glowysoe @RobynFlowers18 @Peffloo*Péters pdläm@Bräm@Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm@Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Bräm @Br,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
There was just a job at the tip of a central Iowa grocery store. There were 508 people. 68 had masks.. #iowa #COVIDIOTS #grocery,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
I suppose I should know every effort to flatten the curve that depended on an overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18
"Because many people still refuse to wear masks, and stay physically away from others, I prepare for some GREAT vacation, such as: Halloween Zoomsgiving Christzoom Zoom Year's Eve Zoomukkah Kwanzoom",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@mickjason @PeteFestersen When the TSA started getting us to remove our shoes, practically untie &amp; let them see the details of our bodies in X-ray machines just to get on a plane, have you stopped flying? Otherwise, why do you agree with this, but wearing a mask makes you a #crybaby? #WearADAmnMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@NPR Is Tucker Carlson? #COVIDIOTS,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
@PrawnDave @ImmmoralReport There's someone who's waited a long time for an ass who could have made a mouth out of it. #covidiot #Covidiocy,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
Day 1292 with a contagious haiku: endless quarantine. America is broken. Wear your fucking mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
